ca[deg],P[bar],T[K],HR[J/deg]
-108.2,1.5655447679740604,395.69396035175293,-2.4764049382914058e-24
-108.0,1.5699119491473832,395.9937681593951,-2.6553370461849057e-24
-107.8,1.5743086827828747,396.2949655945751,-2.8537753312984562e-24
-107.6,1.5787351951495943,396.5975583189275,-3.073929504332804e-24
-107.4,1.5831917147072305,396.90155202635236,-3.318195363118158e-24
-107.19999999999999,1.5876784721299406,397.20695244317716,-3.58916567651724e-24
-107.0,1.5921957003418892,397.5137653296976,-3.8881812636539035e-24
-106.80000000000001,1.5967436352733384,397.82199656843216,-4.1219076478306775e-24
-106.6,1.6013225138878124,398.1316519229785,-4.3579011891419865e-24
-106.4,1.6059325760070573,398.4427372560922,-4.5940703914012014e-24
-106.19999999999999,1.6105740637952168,398.7552584642068,-4.828076013342408e-24
-106.0,1.615247221784665,399.0692214776118,-5.05732419919197e-24
-105.80000000000001,1.6199522969021407,399.3846322606309,-5.2789602474309636e-24
-105.6,1.6246895384952056,399.7014968117999,-5.4898630789756144e-24
-105.39999999999999,1.6294591983590214,400.01982116404514,-5.686640471107684e-24
-105.2,1.6342615307634505,400.33961138486103,-5.865625129015753e-24
-104.99999999999999,1.6390967924804871,400.6608735764886,-6.0228716728009844e-24
-104.8,1.6439652428120226,400.9836138760935,-6.154154624278949e-24
-104.60000000000001,1.6488671436179474,401.30783845594385,-6.254967484930783e-24
-104.4,1.6538027598098346,401.6335535767597,-6.502712658622657e-24
-104.2,1.6587723585791359,401.96076549573587,-6.94194615468306e-24
-104.00000000000001,1.663776209372992,402.28948046139203,-7.464939227704078e-24
-103.8,1.6688145846268927,402.61970479404243,-8.086910617592091e-24
-103.6,1.6738877594853137,402.95144485048894,-8.824666630594546e-24
-103.39999999999999,1.678996011832204,403.28470702421737,-9.69668820722068e-24
-103.2,1.6841396223218448,403.6194977455934,-1.0723220904555668e-23
-103.00000000000001,1.6893188744100958,403.9558234820587,-1.1926367983702222e-23
-102.8,1.6945340543860217,404.29369073832726,-1.333018680782541e-23
-102.60000000000001,1.6997854514039128,404.6331060565811,-1.4960788772255966e-23
-102.4,1.705073357515702,404.9740760166666,-1.6846443005417165e-23
-102.2,1.7103980677037804,405.3166072362905,-1.901768409806745e-23
