P[bar],断熱火炎t1[K]
333.01325,2409.509904958758
334.01325,2409.5382054125857
335.01325,2409.5663990743205
336.01325,2409.594486659438
337.01325,2409.6224688764287
338.01325,2409.650346427081
339.01325,2409.678120006384
340.01325,2409.7057903027417
341.01325,2409.733357998054
342.01325,2409.7608237676864
343.01325,2409.7881882806205
344.01325,2409.815452199559
345.01325,2409.8426161809994
346.01325,2409.8696808751884
347.01325,2409.896646926461
348.01325,2409.923514972918
349.01325,2409.950285646987
350.01325,2409.9769595750718
351.01325,2410.0035373777114
352.01325,2410.030019669957
353.01325,2410.0564070610662
354.01325,2410.082700154687
355.01325,2410.1088995490427
356.01325,2410.1350058368407
357.01325,2410.1610196054676
358.01325,2410.186941436903
359.01325,2410.212771907919
360.01325,2410.23851159008
361.01325,2410.26416104982
362.01325,2410.289720848449
363.01325,2410.3151915424205
364.01325,2410.340573682929
365.01325,2410.3658678166166
366.01325,2410.3910744850286
367.01325,2410.4161942250116
368.01325,2410.441227568727
369.01325,2410.4661750435425
370.01325,2410.4910371722817
371.01325,2410.5158144732222
372.01325,2410.5405074600426
373.01325,2410.565116641934
374.01325,2410.5896425238216
375.01325,2410.6140856061293
376.01325,2410.638446384963
377.01325,2410.662725352219
378.01325,2410.6869229955705
379.01325,2410.7110397983824
380.01325,2410.7350762401493
381.01325,2410.7590327960074
382.01325,2410.782909937242
383.01325,2410.806708131055
384.01325,2410.830427840762
385.01325,2410.8540695256934
386.01325,2410.8776336413875
387.01325,2410.9011206395107
388.01325,2410.9245309679914
389.01325,2410.9478650710635
390.01325,2410.9711233891503
391.01325,2410.9943063590845
392.01325,2411.0174144140383
393.01325,2411.0404479837243
394.01325,2411.063407494194
395.01325,2411.086293367969
396.01325,2411.109106024275
397.01325,2411.131845878777
398.01325,2411.1545133437803
399.01325,2411.177108828254
400.01325,2411.199632737759
401.01325,2411.2220854747748
402.01325,2411.2444674382846
403.01325,2411.26677902422
404.01325,2411.289020625346
405.01325,2411.311192631137
406.01325,2411.3332954280822
407.01325,2411.3553293995524
408.01325,2411.3772949258087
409.01325,2411.3991923841763
410.01325,2411.421022148982
411.01325,2411.4427845915234
412.01325,2411.4644800802453
413.01325,2411.486108980723
414.01325,2411.507671655544
415.01325,2411.5291684646186
416.01325,2411.550599764818
417.01325,2411.571965910475
418.01325,2411.5932672530575
419.01325,2411.614504141343
