P[bar],T[K]
1.2053287624089528,316.2508406136114
1.2053670912788337,316.25367946990053
1.2054054222387667,316.2565184155184
1.205443755288913,316.25935745046985
1.2054820904294345,316.2621965747595
1.2055204276604925,316.2650357883923
1.205558766982248,316.26787509137296
1.2055971083948622,316.27071448370623
1.205635451898497,316.27355396539684
1.2056737974933136,316.2763935364497
1.2057121451794728,316.2792331968694
1.2057504949571372,316.2820729466609
1.2057888468264675,316.2849127858289
1.205827200787625,316.28775271437814
1.2058655568407721,316.2905927323135
1.205903914986069,316.2934328396396
1.2059422752236781,316.29627303636136
1.205980637553761,316.2991133224835
1.2060190019764787,316.30195369801083
1.206057368491993,316.30479416294804
1.2060957371004655,316.3076347173
1.2061341078020578,316.3104753610715
1.2061724805969314,316.31331609426724
1.206210855485248,316.316156916892
1.2062492324671694,316.31899782895067
1.2062876115428567,316.3218388304479
1.2063259927124723,316.32467992138857
1.2063643759761773,316.3275211017774
1.206402761334134,316.33036237161923
1.2064411487865034,316.33320373091874
1.2064795383334477,316.3360451796808
1.2065179299751287,316.3388867179102
1.2065563237117078,316.34172834561167
1.206594719543347,316.34457006279
1.206633117470208,316.34741186944996
1.2066715174924532,316.3502537655964
1.206709919610243,316.35309575123404
1.2067483238237413,316.3559378263677
1.206786730133108,316.35877999100217
1.206825138538506,316.36162224514214
1.2068635490400972,316.36446458879254
1.206901961638043,316.367307021958
1.206940376332506,316.3701495446435
1.2069787931236475,316.3729921568537
1.2070172120116296,316.3758348585933
1.2070556329966144,316.37867764986726
1.2070940560787642,316.3815205306803
1.2071324812582405,316.38436350103717
1.2071709085352056,316.38720656094273
1.2072093379098217,316.3900497104017
1.2072477693822499,316.39289294941887
1.2072862029526534,316.39573627799905
1.2073246386211938,316.39857969614707
1.207363076388033,316.40142320386764
1.2074015162533338,316.40426680116565
1.2074399582172577,316.40711048804576
1.2074784022799667,316.40995426451286
1.2075168484416237,316.4127981305717
1.2075552967023906,316.4156420862271
1.207593747062429,316.41848613148375
1.2076321995219017,316.42133026634656
1.2076706540809712,316.4241744908203
1.207709110739799,316.4270188049097
1.2077475694985478,316.4298632086196
1.20778603035738,316.4327077019548
1.2078244933164572,316.4355522849201
1.2078629583759426,316.43839695752024
1.2079014255359979,316.44124171976006
1.2079398947967859,316.44408657164433
1.2079783661584687,316.44693151317784
1.2080168396212083,316.4497765443654
1.2080553151851678,316.4526216652118
1.208093792850509,316.4554668757218
1.2081322726173949,316.45831217590023
1.2081707544859877,316.46115756575193
1.2082092384564493,316.46400304528163
1.208247724528943,316.4668486144941
1.208286212703631,316.4696942733942
1.2083247029806754,316.47254002198673
1.208363195360239,316.4753858602764
1.208401689842485,316.47823178826815
1.208440186427575,316.4810778059666
1.2084786851156717,316.4839239133767
1.2085171859069377,316.4867701105032
1.2085556888015359,316.48961639735086
1.208594193799629,316.4924627739245
1.208632700901379,316.49530924022895
1.2086712101069497,316.498155796269
1.2087097214165023,316.5010024420494
1.2087482348302003,316.503849177575
1.2087867503482066,316.50669600285056
1.2088252679706835,316.50954291788094
1.2088637876977935,316.5123899226709
1.2089023095296993,316.51523701722516
1.208940833466565,316.5180842015487
1.2089793595085518,316.5209314756462
1.209017887655823,316.5237788395225
1.2090564179085417,316.52662629318235
1.20909495026687,316.5294738366306
1.2091334847309716,316.5323214698721
1.209172021301009,316.53516919291155
1.2092105599771448,316.5380170057538
1.2092491007595423,316.54086490840365
1.2092876436483642,316.54371290086596
1.2093261886437734,316.5465609831454
1.2093647357459325,316.5494091552469
1.2094032849550058,316.55225741717527
1.2094418362711545,316.5551057689352
1.2094803896945423,316.5579542105316
1.2095189452253328,316.5608027419692
1.2095575028636878,316.56365136325286
1.2095960626097717,316.5665000743874
1.2096346244637464,316.56934887537756
1.2096731884257754,316.5721977662282
1.209711754496022,316.5750467469441
1.209750322674649,316.57789581753013
1.2097888929618195,316.580744977991
1.2098274653576968,316.58359422833155
1.2098660398624441,316.5864435685566
1.209904616476224,316.589292998671
1.2099431951992008,316.5921425186795
1.209981776031536,316.5949921285869
1.2100203589733942,316.5978418283981
1.210058944024938,316.60069161811776
1.2100975311863316,316.6035414977509
1.2101361204577368,316.6063914673021
1.2101747118393176,316.6092415267763
1.2102133053312374,316.61209167617835
1.2102519009336594,316.61494191551293
1.2102904986467466,316.617792244785
1.210329098470663,316.6206426639992
1.2103677004055713,316.6234931731605
1.2104063044516353,316.6263437722737
1.210444910609018,316.62919446134345
1.2104835188778829,316.63204524037474
1.210522129258394,316.63489610937233
1.210560741750714,316.637747068341
1.2105993563550064,316.6405981172856
1.210637973071435,316.64344925621094
1.210676591900163,316.6463004851218
1.2107152128413543,316.649151804023
1.2107538358951722,316.65200321291945
1.2107924610617797,316.65485471181586
1.210831088341341,316.65770630071705
1.2108697177340197,316.6605579796279
1.210908349239979,316.6634097485532
1.2109469828593826,316.66626160749774
1.2109856185923946,316.66911355646636
1.2110242564391775,316.67196559546386
1.2110628963998962,316.6748177244951
1.2111015384747132,316.6776699435648
1.2111401826637933,316.6805222526779
1.2111788289672993,316.6833746518392
1.2112174773853952,316.6862271410534
1.2112561279182448,316.6890797203254
1.2112947805660121,316.6919323896601
1.2113334353288605,316.6947851490622
1.2113720922069535,316.6976379985366
1.2114107512004555,316.7004909380881
1.2114494123095298,316.7033439677214
1.2114880755343407,316.7061970874415
1.2115267408750519,316.70905029725316
1.211565408331827,316.71190359716115
1.2116040779048294,316.71475698717035
1.2116427495942241,316.71761046728557
1.211681423400175,316.72046403751165
1.2117200993228445,316.7233176978533
1.211758777362398,316.7261714483155
1.2117974575189991,316.729025288903
1.2118361397928112,316.7318792196206
1.211874824183999,316.7347332404732
1.211913510692726,316.7375873514655
1.2119521993191567,316.7404415526025
1.2119908900634546,316.74329584388886
1.212029582925784,316.7461502253295
1.2120682779063092,316.74900469692915
1.212106975005194,316.7518592586928
1.2121456742226022,316.75471391062507
1.212184375558699,316.757568652731
1.2122230790136472,316.7604234850153
1.2122617845876116,316.76327840748274
1.212300492280756,316.76613342013826
1.2123392020932449,316.76898852298666
1.2123779140252429,316.7718437160327
1.2124166280769133,316.7746989992813
1.212455344248421,316.77755437273726
1.2124940625399296,316.7804098364054
1.2125327829516044,316.7832653902905
1.2125715054836086,316.78612103439747
1.2126102301361072,316.7889767687311
1.212648956909264,316.79183259329625
1.2126876858032432,316.7946885080977
1.2127264168182104,316.79754451314034
1.212765149954328,316.8004006084289
1.212803885211762,316.80325679396833
1.212842622590676,316.80611306976346
1.2128813620912349,316.808969435819
1.2129201037136026,316.8118258921399
1.2129588474579436,316.8146824387309
1.2129975933244226,316.8175390755969
1.213036341313204,316.8203958027427
1.2130750914244524,316.8232526201732
1.2131138436583317,316.82610952789315
1.2131525980150073,316.82896652590745
1.213191354494643,316.83182361422087
1.2132301130974037,316.83468079283824
1.2132688738234536,316.83753806176446
1.2133076366729583,316.84039542100436
1.2133464016460813,316.8432528705627
1.2133851687429875,316.8461104104444
1.2134239379638416,316.84896804065426
1.2134627093457748,316.85182577084953
1.213501482852532,316.854683591525
1.213540258483856,316.8575415025753
1.2135790362399126,316.8603995040055
1.213617816120866,316.8632575958204
1.2136565981268812,316.8661157780249
1.213695382258123,316.8689740506238
1.2137341685147567,316.87183241362214
